starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 24 22:58:21 2021	1627131501	4	9	13	9
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	0	13	13	13
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	2	12	13	9
Sat Jul 24 22:58:22 2021	1627131502	3	11	13	11
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	13	13	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	13	13	12
Sat Jul 24 22:58:21 2021	1627131501	2	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	13	13	13
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	13	13	13
Sat Jul 24 22:58:22 2021	1627131502	1	13	13	12
Sat Jul 24 22:58:22 2021	1627131502	0	13	13	13
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	13	13	13
Sat Jul 24 22:58:22 2021	1627131502	2	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	13	13	13
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	12
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:22 2021	1627131502	1	13	14	13
Sat Jul 24 22:58:22 2021	1627131502	2	11	14	9
Sat Jul 24 22:58:21 2021	1627131501	1	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	0	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	0	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:22 2021	1627131502	1	12	14	12
Sat Jul 24 22:58:22 2021	1627131502	1	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	14	12
Sat Jul 24 22:58:21 2021	1627131501	2	12	14	12
Sat Jul 24 22:58:22 2021	1627131502	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	2	12	14	11
Sat Jul 24 22:58:21 2021	1627131501	1	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	0	13	14	13
Sat Jul 24 22:58:21 2021	1627131501	0	13	14	13
